Incoming,ABC Company,123 Main St,Anytown,CA,12345,1234,1/4/2023 12:00 PM,1/10/2023 5:00 PM,true,Bill Smith,Clothing-10-$100-$1000,Shipped-Clothing-10-$100-$1000
Outgoing,XYZ Corporation,456 Elm St,Somecity,CA,67890,5678,2/1/2023 4:00 PM,2/11/2023 9:30 AM,false,John Johnson,Toys-5-$20-$100,Backorder-Toys-5-$20-$100
Incoming,XYZ Corporation,456 Elm St,Somecity,CA,67890,5678,1/8/2023 2:30 PM,1/14/2023 9:00 AM,true,Jane Johnson,Accessories-8-$50-$500,Shipped-Accessories-8-$50-$500
Incoming,LMN Inc,789 Oak St,Anothercity,CA,54321,9101,1/11/2023 9:00 AM,1/15/2023 12:00 PM,true,John Doe,Electronics-3-$500-$2000,Shipped-Electronics-3-$500-$2000
Incoming,PQR Company,987 Pine St,YetAnotherCity,CA,67891,2345,1/15/2023 1:00 PM,1/20/2023 10:00 AM,true,Emily Smith,Furniture-2-$800-$1500,NoLongerAvailable-Furniture-2-$800-$1500
Outgoing,ABC Company,123 Main St,Anytown,CA,12345,1234,1/25/2023 3:00 PM,1/28/2023 11:00 AM,false,John Smith,Toys-15-$20-$100,Backorder-Toys-15-$20-$100
Outgoing,XYZ Corporation,456 Elm St,Somecity,CA,67890,5678,1/29/2023 4:30 PM,2/3/2023 9:00 AM,false,Kate Johnson,Clothing-5-$50-$250,Backorder-Clothing-5-$50-$250
Outgoing,LMN Inc,789 Oak St,Anothercity,CA,54321,9101,2/5/2023 9:00 AM,2/8/2023 12:00 PM,false,Bill Doe,Accessories-20-$10-$50,NoLongerAvailable-Accessories-20-$10-$50
Incoming,RST Company,321 Cedar St,SomeOtherCity,CA,09876,5432,2/7/2023 10:00 AM,2/12/2023 3:00 PM,true,Samuel Johnson,Toys-3-$30-$100,Shipped-Toys-3-$30-$100
Incoming,ABC Company,123 Main St,Anytown,CA,12345,1234,2/10/2023 2:00 PM,2/15/2023 9:00 AM,true,David Smith,Electronics-5-$300-$1000,Shipped-Electronics-5-$300-$1000
Incoming,XYZ Corporation,456 Elm St,Somecity,CA,67890,5678,2/15/2023 4:30 PM,2/20/2023 11:00 AM,true,Mary Johnson,Furniture-1-$1500-$2000,Shipped-Furniture-1-$1500-$2000
Outgoing,LMN Inc,789 Oak St,Anothercity,CA,54321,9101,2/24/2023 11:00 AM,2/28/2023 3:00 PM,false,Kelly Doe,Clothing-10-$100-$1000,Backorder-Clothing-10-$100-$1000
Incoming,RST Company,321 Cedar St,SomeOtherCity,CA,09876,5432,3/2/2023 2:00 PM,3/7/2023 9:00 AM,true,Amy Johnson,Accessories-8-$50-$500,Shipped-Accessories-8-$50-$500
Outgoing,ABC Company,123 Main St,Anytown,CA,12345,1234,3/7/2023 1:00 PM,3/11/2023 9:00 AM,false,John Smith,Toys-5-$20-$100,Backorder-Toys-5-$20-$100
Incoming,XYZ Corporation,456 Elm St,Somecity,CA,67890,5678,3/12/2023 4:30 PM,3/17/2023 11:00 AM,true,Sam Johnson,Clothing-15-$50-$250,Shipped-Clothing-15-$50-$250
Outgoing,LMN Inc,789 Oak St,Anothercity,CA,54321,9101,3/18/2023 9:00 AM,3/22/2023 12:00 PM,false,Bill Doe,Electronics-20-$500-$2000,Backorder-Electronics-20-$500-$2000
Incoming,PQR Company,987 Pine St,YetAnotherCity,CA,67891,2345,3/20/2023 10:00 AM,3/25/2023 3:00 PM,true,Emily Smith,Furniture-2-$800-$1500,Shipped-Furniture-2-$800-$1500
Outgoing,RST Company,321 Cedar St,SomeOtherCity,CA,09876,5432,3/24/2023 2:00 PM,3/29/2023 9:00 AM,false,David Johnson,Accessories-3-$100-$500,Backorder-Accessories-3-$100-$500
Incoming,ABC Company,123 Main St,Anytown,CA,12345,1234,3/28/2023 4:00 PM,4/2/2023 11:00 AM,true,Kate Smith,Toys-10-$30-$100,Shipped-Toys-10-$30-$100
